iter	Passed	Remaining
399	50414	201656
400	50578	201683
401	50713	201590
402	50892	201676
403	51066	201737
404	51232	201768
405	51494	202171
406	51675	202257
407	51818	202192
408	51985	202223
409	52140	202203
410	52274	202102
411	52399	201967
412	52550	201933
413	52683	201825
414	52819	201731
415	52965	201676
416	53107	201605
417	53247	201524
418	53389	201451
419	53547	201440
420	53680	201332
421	53817	201242
422	53936	201082
423	54074	200995
424	54226	200955
425	54362	200858
426	54497	200761
427	54689	200868
428	54833	200800
429	54984	200756
430	55131	200698
431	55273	200623
432	55415	200544
433	55561	200483
434	55721	200469
435	55867	200406
436	56002	200302
437	56145	200227
438	56293	200169
439	56430	200071
440	56567	199973
441	56708	199892
442	56844	199789
443	56980	199686
444	57128	199627
445	57258	199506
446	57391	199393
447	57522	199274
448	57667	199202
449	57799	199086
450	57938	198994
451	58079	198909
452	58208	198781
453	58344	198679
454	58473	198552
455	58624	198502
456	58798	198526
457	58963	198519
458	59108	198444
459	59247	198350
460	59380	198234
461	59522	198152
462	59668	198080
463	59795	197944
464	59927	197826
465	60054	197690
466	60178	197546
467	60322	197465
468	60475	197416
469	60611	197310
470	60754	197225
471	60887	197109
472	61034	197039
473	61159	196896
474	61282	196747
475	61420	196648
476	61550	196523
477	61684	196410
478	61834	196346
479	61956	196195
480	62093	196092
481	62240	196020
482	62364	195873
483	62500	195766
484	62622	195615
485	62749	195479
486	62876	195342
487	63017	195252
488	63142	195109
489	63273	194986
490	63406	194869
491	63538	194748
492	63670	194626
493	63805	194516
494	63930	194374
495	64071	194281
496	64213	194190
497	64343	194065
498	64472	193935
499	64594	193782
500	64723	193653
501	64852	193523
502	64975	193376
503	65118	193287
504	65255	193181
505	65385	193054
506	65513	192922
507	65634	192770
508	65758	192623
509	65917	192581
510	66060	192494
511	66199	192392
512	66339	192293
513	66475	192183
514	66612	192077
515	66742	191948
516	66876	191834
517	67016	191734
518	67139	191585
519	67263	191442
520	67392	191311
521	67528	191200
522	67671	191111
523	67855	191133
524	68003	191056
525	68146	190966
526	68294	190888
527	68420	190748
528	68555	190633
529	68691	190522
530	68824	190401
531	68960	190289
532	69093	190168
533	69230	190060
534	69364	189942
535	69501	189831
536	69636	189716
537	69778	189621
538	69916	189514
539	70050	189395
540	70184	189278
541	70329	189189
542	70470	189089
543	70614	188996
544	70745	188872
545	70872	188734
546	71012	188630
547	71157	188542
548	71314	188482
549	71455	188383
550	71595	188280
551	71735	188176
552	71884	188094
553	72028	188001
554	72185	187943
555	72332	187855
556	72499	187823
557	72635	187706
558	72765	187576
559	72903	187467
560	73046	187367
561	73180	187249
562	73321	187144
563	73457	187029
564	73594	186917
565	73729	186797
566	73868	186691
567	74015	186603
568	74166	186524
569	74312	186432
570	74446	186311
571	74587	186208
572	74736	186123
573	74872	186006
574	75014	185905
575	75197	185905
576	75345	185818
577	75500	185745
578	75597	185533
579	75734	185419
580	75868	185297
581	76001	185171
582	76138	185056
583	76294	184986
584	76433	184876
585	76570	184762
586	76713	184662
587	76846	184537
588	76978	184409
589	77140	184353
590	77275	184232
591	77412	184117
592	77547	183995
593	77685	183881
594	77827	183776
595	77953	183634
596	78084	183505
597	78238	183428
598	78364	183286
599	78508	183185
600	78655	183092
601	78786	182961
602	78914	182825
603	79089	182797
604	79223	182671
605	79347	182526
606	79474	182384
607	79607	182258
608	79731	182111
609	79863	181984
610	80003	181874
611	80144	181766
612	80274	181633
613	80402	181494
614	80527	181351
615	80664	181232
616	80804	181121
617	81014	181167
618	81155	181058
619	81299	180956
620	81464	180901
621	81612	180806
622	81773	180742
623	81911	180624
624	82033	180474
625	82162	180338
626	82309	180241
627	82446	180122
628	82578	179992
629	82712	179867
630	82847	179744
631	82985	179626
632	83118	179499
633	83259	179388
634	83386	179248
635	83519	179120
636	83658	179005
637	83785	178863
638	83922	178745
